"TAZ","access_nearby_sov","access_transit","access_walk","N_NH_K12_All_sov_AM","N_NH_K12_All_sov_MD","N_NH_K12_All_sov_PM","N_NH_K12_All_sov_NT","N_NH_K12_All_hov2_AM","N_NH_K12_All_hov2_MD","N_NH_K12_All_hov2_PM","N_NH_K12_All_hov2_NT","N_NH_K12_All_hov3_AM","N_NH_K12_All_hov3_MD","N_NH_K12_All_hov3_PM","N_NH_K12_All_hov3_NT","N_NH_K12_All_walkbike_AM","N_NH_K12_All_walkbike_MD","N_NH_K12_All_walkbike_PM","N_NH_K12_All_walkbike_NT","N_NH_OME_All_sov_AM","N_NH_OME_All_sov_MD","N_NH_OME_All_sov_PM","N_NH_OME_All_sov_NT","N_NH_OME_All_hov2_AM","N_NH_OME_All_hov2_MD","N_NH_OME_All_hov2_PM","N_NH_OME_All_hov2_NT","N_NH_OME_All_hov3_AM","N_NH_OME_All_hov3_MD","N_NH_OME_All_hov3_PM","N_NH_OME_All_hov3_NT","N_NH_OME_All_walkbike_AM","N_NH_OME_All_walkbike_MD","N_NH_OME_All_walkbike_PM","N_NH_OME_All_walkbike_NT","N_NH_OME_All_t_AM","N_NH_OME_All_t_MD","N_NH_OME_All_t_PM","N_NH_OME_All_t_NT","N_NH_O_All_sov_AM","N_NH_O_All_sov_MD","N_NH_O_All_sov_PM","N_NH_O_All_sov_NT","N_NH_O_All_hov2_AM","N_NH_O_All_hov2_MD","N_NH_O_All_hov2_PM","N_NH_O_All_hov2_NT","N_NH_O_All_hov3_AM","N_NH_O_All_hov3_MD","N_NH_O_All_hov3_PM","N_NH_O_All_hov3_NT","N_NH_O_All_auto_pay_AM","N_NH_O_All_auto_pay_MD","N_NH_O_All_auto_pay_PM","N_NH_O_All_auto_pay_NT","N_NH_O_All_walkbike_AM","N_NH_O_All_walkbike_MD","N_NH_O_All_walkbike_PM","N_NH_O_All_walkbike_NT","N_NH_O_All_t_AM","N_NH_O_All_t_MD","N_NH_O_All_t_PM","N_NH_O_All_t_NT","W_NH_EK12_All_sov_AM","W_NH_EK12_All_sov_MD","W_NH_EK12_All_sov_PM","W_NH_EK12_All_sov_NT","W_NH_EK12_All_hov2_AM","W_NH_EK12_All_hov2_MD","W_NH_EK12_All_hov2_PM","W_NH_EK12_All_hov2_NT","W_NH_EK12_All_hov3_AM","W_NH_EK12_All_hov3_MD","W_NH_EK12_All_hov3_PM","W_NH_EK12_All_hov3_NT","W_NH_EK12_All_walkbike_AM","W_NH_EK12_All_walkbike_MD","W_NH_EK12_All_walkbike_PM","W_NH_EK12_All_walkbike_NT","W_NH_O_All_sov_AM","W_NH_O_All_sov_MD","W_NH_O_All_sov_PM","W_NH_O_All_sov_NT","W_NH_O_All_hov2_AM","W_NH_O_All_hov2_MD","W_NH_O_All_hov2_PM","W_NH_O_All_hov2_NT","W_NH_O_All_hov3_AM","W_NH_O_All_hov3_MD","W_NH_O_All_hov3_PM","W_NH_O_All_hov3_NT","W_NH_O_All_walkbike_AM","W_NH_O_All_walkbike_MD","W_NH_O_All_walkbike_PM","W_NH_O_All_walkbike_NT","W_NH_O_All_t_AM","W_NH_O_All_t_MD","W_NH_O_All_t_PM","W_NH_O_All_t_NT","W_NH_WR_All_sov_AM","W_NH_WR_All_sov_MD","W_NH_WR_All_sov_PM","W_NH_WR_All_sov_NT","W_NH_WR_All_hov2_AM","W_NH_WR_All_hov2_MD","W_NH_WR_All_hov2_PM","W_NH_WR_All_hov2_NT","W_NH_WR_All_hov3_AM","W_NH_WR_All_hov3_MD","W_NH_WR_All_hov3_PM","W_NH_WR_All_hov3_NT","W_NH_WR_All_auto_pay_AM","W_NH_WR_All_auto_pay_MD","W_NH_WR_All_auto_pay_PM","W_NH_WR_All_auto_pay_NT","W_NH_WR_All_walkbike_AM","W_NH_WR_All_walkbike_MD","W_NH_WR_All_walkbike_PM","W_NH_WR_All_walkbike_NT"
1470,9.9433,5.13,3.19497,0.186278,0.526088,0.437894,0.560591,0.438663,1.23389,1.03069,1.30727,0.807346,2.20048,1.86455,2.3,0.0946733,0.130008,0.122944,0.105345,10.5324,55.1888,34.1304,41.2235,14.7542,57.9997,40.0789,50.2741,7.66713,34.7513,22.8754,28.566,3.25326,12.0308,8.35242,10.3578,0.787135,1.76126,1.84406,1.62004,8.4406,25.3153,20.3737,26.1046,7.01812,18.5952,15.4117,16.8506,4.80128,13.8183,11.3838,14.2476,0.689187,2.19525,1.5913,2.54517,1.27617,4.43094,3.23337,3.24224,1.75464,3.31963,3.63375,2.98756,0.892056,0.887109,1.61845,2.00986,0.976986,1.06829,2.06388,2.70707,0.61587,0.674654,1.30284,1.709,0.00,0.00,0.00,0.00,34.4202,37.7068,72.8119,95.5128,6.50089,6.93136,13.1865,17.065,3.11795,3.34573,6.39121,8.29624,5.66258,5.83013,10.906,13.8704,0.670179,0.575468,1.53916,1.4853,2.68632,2.73633,5.06588,6.386,0.775105,0.849144,1.6396,2.15082,0.704677,0.701808,1.27611,1.58642,0.0726993,0.0784481,0.152677,0.200321,0.573792,0.574149,1.05349,1.31486
1471,9.87093,5.01553,3.18406,0.0306506,0.0756311,0.0664946,0.0768653,0.0737103,0.18098,0.159951,0.182093,0.14898,0.351849,0.316002,0.34698,0.0280003,0.0379762,0.0357481,0.0306851,1.74934,8.98784,5.47421,6.21601,2.27507,8.73085,5.94291,6.88613,1.14097,5.26718,3.38684,3.96804,0.247484,1.10364,0.687848,0.735429,0.12912,0.190801,0.222581,0.160243,1.3496,3.61111,3.02663,3.52037,1.68484,3.91496,3.3948,3.34791,0.83773,2.1122,1.83305,2.05924,0.0126298,0.035254,0.0269314,0.0408014,0.367055,1.09582,0.847065,0.832962,0.313859,0.408538,0.495638,0.356173,0.20057,0.182032,0.321354,0.370439,0.157454,0.172705,0.335142,0.437098,0.0982828,0.108113,0.209689,0.273472,0.00,0.00,0.00,0.00,5.49286,6.04267,11.7191,15.2842,1.15212,1.18942,2.24494,2.83181,0.543088,0.566554,1.07566,1.36466,1.15027,1.1102,2.03339,2.46559,0.125963,0.100299,0.265523,0.251261,0.562238,0.53001,0.955031,1.13399,0.123692,0.136082,0.263896,0.344187,0.159355,0.144062,0.254168,0.292722,0.0116075,0.0125382,0.0244248,0.0319825,0.123507,0.113892,0.202862,0.23722
1472,9.73282,4.3203,2.84956,0.0479652,0.118265,0.10341,0.119188,0.118161,0.287181,0.253289,0.286724,0.241852,0.565949,0.506739,0.553708,0.0551661,0.0748158,0.0696178,0.0604487,2.63001,13.018,8.0476,9.12552,3.47707,13.0434,8.96816,10.3865,1.74008,7.79093,5.06554,5.92545,0.457516,2.26416,1.36921,1.50465,0.168338,0.296734,0.30213,0.244866,2.0901,5.54656,4.64681,5.39014,2.73877,6.3127,5.4808,5.43633,1.33026,3.31364,2.87427,3.21167,0.0165062,0.0497175,0.0368348,0.0575381,0.710438,2.21899,1.66981,1.68737,0.423204,0.624454,0.688894,0.551237,0.185449,0.185462,0.345045,0.426614,0.218878,0.239211,0.465162,0.605692,0.132963,0.14612,0.283871,0.369579,0.00,0.00,0.00,0.00,7.43105,8.16679,15.8648,20.6552,1.40155,1.50072,2.88667,3.71363,0.668051,0.719099,1.38693,1.78748,1.31298,1.35337,2.57615,3.2688,0.171411,0.148559,0.36335,0.3837,0.563558,0.577355,1.08638,1.36262,0.167337,0.183915,0.357248,0.46513,0.146742,0.146393,0.272325,0.336436,0.0155992,0.0169084,0.0331147,0.0430887,0.1285,0.126487,0.233735,0.28706
1473,9.49667,3.94794,2.62142,0.018319,0.0458061,0.0408194,0.0461654,0.0447935,0.110716,0.0997819,0.110553,0.0917709,0.219142,0.200968,0.214406,0.0142895,0.0233103,0.0224923,0.0196737,1.10142,6.65732,3.93706,4.46416,1.34841,5.90454,3.95154,4.56675,0.708496,3.82583,2.37167,2.75373,0.147521,0.747772,0.464969,0.505691,0.0640541,0.141557,0.136368,0.114375,0.790445,2.19178,1.84384,2.10509,1.02071,2.44773,2.20139,2.15035,0.501314,1.3014,1.13826,1.24545,0.00595489,0.0179566,0.0139483,0.0208504,0.247378,0.779318,0.603646,0.591558,0.157673,0.270094,0.299918,0.23986,0.0914103,0.0951131,0.17908,0.231246,0.121015,0.131476,0.25288,0.334134,0.0765782,0.083311,0.160176,0.211677,0.00,0.00,0.00,0.00,4.27989,4.65637,8.95242,11.8303,0.765416,0.823711,1.57651,2.07281,0.372594,0.401689,0.76943,1.01349,0.62271,0.658347,1.25267,1.63335,0.0618999,0.0542041,0.12653,0.142221,0.289269,0.304802,0.577327,0.750404,0.0963793,0.104861,0.201607,0.266406,0.0720946,0.0749299,0.141073,0.18215,0.00901166,0.00964703,0.0186683,0.0246977,0.060808,0.0631517,0.118875,0.153358
1474,9.6485,4.59653,2.94065,0.090278,0.238305,0.206141,0.248211,0.21556,0.562466,0.491971,0.581164,0.418825,1.05422,0.938344,1.06915,0.0334039,0.0623889,0.0616709,0.0542158,4.33168,16.6334,11.5681,13.622,6.39179,20.8523,15.6225,18.8757,3.10717,11.1488,8.12169,9.90458,0.4516,1.53138,1.07379,1.16422,0.247464,0.436437,0.472265,0.388466,3.93857,10.777,9.11355,11.036,4.17586,9.95654,8.8065,8.90972,2.3587,6.16323,5.37243,6.26556,0.044489,0.134176,0.100933,0.155324,0.701784,1.71762,1.52413,1.40621,0.617575,1.03992,1.1318,0.913133,0.190573,0.197902,0.371844,0.47857,0.246888,0.268984,0.517307,0.682818,0.157598,0.1718,0.330349,0.43607,0.00,0.00,0.00,0.00,8.80784,9.60198,18.4631,24.3711,1.57622,1.69803,3.24804,4.26315,0.769208,0.830108,1.58984,2.09027,1.25878,1.33258,2.53002,3.29128,0.128564,0.109822,0.265123,0.288184,0.600899,0.632561,1.19632,1.55082,0.198341,0.216233,0.415777,0.548802,0.150611,0.156119,0.293236,0.377239,0.0185836,0.0199455,0.0385975,0.0509994,0.124142,0.129613,0.244203,0.31517
1475,9.43819,4.2498,2.45612,4.13358,3.13831,2.63757,1.87844,9.57718,7.27186,6.1188,4.35224,16.1304,12.4002,10.4592,7.48276,3.71435,2.6507,2.24111,1.47825,7.39098,26.1752,18.5098,21.7933,10.768,33.0183,25.0297,30.2542,5.11506,17.2094,12.6571,15.4502,1.84824,5.34136,3.53202,3.70107,0.447978,0.681882,0.733635,0.583066,6.96614,18.1638,15.2516,18.3503,8.15968,18.3937,16.0631,16.5117,25.0116,24.846,21.0445,18.1915,0.0563215,0.163426,0.120034,0.189314,1.99679,5.58722,4.38178,4.40544,1.15562,1.59605,1.80194,1.43728,75.4799,10.3929,41.2971,22.9326,25.7678,3.84941,14.6121,8.66274,10.0516,1.59011,5.84214,3.60682,0.00,0.00,0.00,0.00,40.1767,19.5872,44.6815,48.552,3.00204,3.10685,5.84729,7.58221,1.40724,1.46701,2.76604,3.60253,3.14276,3.08491,5.7156,7.21646,0.413702,0.370922,0.766131,0.94809,11.2225,2.59744,7.66854,5.78266,0.33956,0.366067,0.7009,0.927628,0.35497,0.332055,0.592133,0.719952,0.0317939,0.0337257,0.064943,0.0861382,0.313203,0.289102,0.51287,0.618054
1476,9.48046,3.8736,2.43124,0.044687,0.10879,0.094934,0.109676,0.109409,0.262603,0.230963,0.262239,0.222931,0.514563,0.459833,0.503503,0.0421682,0.0608542,0.0570687,0.0500273,3.62106,27.8836,14.9606,16.9827,3.9551,21.8166,12.918,14.917,2.22242,15.2921,8.5209,9.87134,0.461971,2.85969,1.61655,1.78179,0.155306,0.305973,0.313048,0.238063,1.98134,5.83117,4.59066,5.32908,2.52345,6.31923,5.2144,5.22035,1.23768,3.31598,2.73975,3.07065,0.0134578,0.0395255,0.029397,0.0457693,0.673238,2.53618,1.74368,1.78632,0.372663,0.544903,0.614519,0.476565,0.393164,0.374859,0.67244,0.834293,0.407115,0.436421,0.827884,1.10211,0.257025,0.275902,0.52302,0.696485,0.00,0.00,0.00,0.00,14.365,15.4213,29.2325,38.9275,2.75419,2.85658,5.33798,6.98119,1.32143,1.37815,2.58369,3.39194,2.4338,2.42446,4.45742,5.69625,0.226021,0.175697,0.445056,0.445797,1.16903,1.14694,2.0864,2.63796,0.323487,0.3473,0.65832,0.876645,0.315157,0.298594,0.534664,0.661272,0.0299976,0.0317806,0.0607518,0.0808368,0.250103,0.241142,0.435037,0.543971
1477,9.65614,5.5056,3.07165,0.206005,0.537704,0.462925,0.548142,0.447401,1.16894,1.00994,1.17489,0.878974,2.21846,1.95038,2.1862,0.123887,0.193025,0.183154,0.158334,15.3588,107.785,58.5131,66.6773,16.9548,81.5928,49.7291,57.5935,8.64439,51.9566,29.8486,34.8312,1.74606,9.39289,5.49495,5.8858,0.876792,2.30544,2.12487,1.74616,9.12332,27.5004,21.7258,25.7335,10.1694,27.0928,21.845,21.7338,5.1684,14.5275,12.0294,13.8324,0.0905916,0.268794,0.209406,0.305537,2.15191,8.0242,5.66697,5.64659,2.02838,3.74454,4.00845,3.02598,1.20655,1.12863,1.9632,2.38026,1.07798,1.1731,2.19796,2.94173,0.68549,0.746656,1.39825,1.87184,0.00,0.00,0.00,0.00,38.321,41.7404,78.1675,104.64,7.71508,7.9915,14.6378,19.0521,3.65524,3.82363,7.03299,9.21211,6.97987,6.88042,12.3293,15.5483,0.959494,0.601783,1.6816,1.50237,3.48247,3.36746,5.96141,7.41116,0.863156,0.94018,1.7607,2.35692,0.989906,0.915563,1.58417,1.90694,0.0824795,0.0884533,0.167015,0.22377,0.739684,0.705435,1.24047,1.52701
1478,10.2493,5.77562,3.21882,0.0977774,0.27025,0.227878,0.284862,0.217943,0.606529,0.511703,0.633381,0.40913,1.10081,0.947866,1.13198,0.0748259,0.0997435,0.0950793,0.0798235,8.86776,69.9285,37.2248,43.1211,9.39218,50.2945,29.683,35.3675,5.15806,34.0743,19.0969,22.7408,2.46332,11.3782,6.92874,7.94072,0.592829,1.84544,1.73274,1.44812,4.60467,15.1068,11.551,14.3537,4.35774,12.8685,9.92561,10.2414,2.55626,7.8343,6.27364,7.62295,0.363865,1.16922,0.833878,1.33831,1.0459,4.75715,3.11812,3.22076,1.35713,2.91247,2.93047,2.14722,1.76163,1.53459,2.52425,2.87683,1.07082,1.15602,2.19132,2.92653,0.678862,0.733686,1.39002,1.8569,0.00,0.00,0.00,0.00,37.948,41.0133,77.7012,103.799,8.57205,8.57424,15.4912,19.7816,3.96336,4.02955,7.33882,9.4705,9.16606,8.46182,14.5762,17.546,0.994016,0.651496,2.02628,1.56982,4.74852,4.28485,7.23853,8.53357,0.854704,0.923757,1.75006,2.33787,1.33112,1.17754,1.9236,2.22597,0.0818411,0.0870996,0.166007,0.222226,1.0362,0.92046,1.53966,1.78991
1479,9.92571,5.31964,3.15364,0.0698782,0.197774,0.16653,0.209692,0.158947,0.45119,0.380674,0.474591,0.29116,0.802259,0.689426,0.832704,0.0128193,0.0259827,0.0271635,0.0226032,3.88208,20.1435,12.5507,15.0923,5.34099,20.6324,14.503,18.122,2.7409,12.1831,8.10856,10.1061,0.982565,3.39954,2.55282,3.06165,0.267133,0.580705,0.742342,0.553822,3.14268,9.43177,7.67447,9.69216,2.52564,6.69781,5.77904,6.11935,1.7546,5.08009,4.2385,5.21319,0.225535,0.717574,0.520577,0.823897,0.336486,1.09937,0.869684,0.795583,0.589264,1.12393,1.45333,1.05113,0.396755,0.389478,0.700633,0.877263,0.426411,0.461537,0.876102,1.16253,0.273778,0.296335,0.562508,0.74641,0.00,0.00,0.00,0.00,15.3032,16.5647,31.4415,41.7218,2.84471,3.00672,5.63499,7.38265,1.37486,1.46016,2.7456,3.60639,2.40711,2.45126,4.50247,5.77246,0.263471,0.197991,0.608056,0.516683,1.19513,1.20205,2.19257,2.78934,0.344657,0.373081,0.708105,0.939653,0.304902,0.302063,0.543624,0.684874,0.0324836,0.0346214,0.0661259,0.0879212,0.248131,0.247553,0.449411,0.568781
1480,9.81384,5.16815,2.84417,0.0438178,0.121731,0.102947,0.127504,0.0998988,0.277825,0.236076,0.288546,0.187818,0.504631,0.438064,0.515831,0.0548791,0.0707175,0.0665647,0.0560228,3.19202,22.4725,12.4889,14.5022,3.75989,18.2832,11.4546,13.7698,2.01547,11.91,7.03313,8.42039,1.13713,5.33372,3.29789,3.86849,0.212085,0.646696,0.590326,0.527986,1.98695,6.2535,4.92583,6.09595,1.84116,5.12334,4.21986,4.32508,1.12126,3.32753,2.72805,3.2775,0.160145,0.514722,0.369672,0.593153,0.658753,2.73844,1.85691,1.93257,0.48856,0.998899,1.07589,0.834385,0.761684,0.677231,1.13558,1.31712,0.539121,0.582251,1.10591,1.46943,0.333167,0.361034,0.684695,0.910348,0.00,0.00,0.00,0.00,18.6215,20.1795,38.2693,50.8808,4.07315,4.12198,7.52099,9.62426,1.88633,1.93716,3.55891,4.59477,4.29598,4.05642,7.14659,8.74525,0.498068,0.440115,0.969721,1.1003,2.09385,1.92917,3.31713,3.96801,0.41936,0.454458,0.861838,1.14583,0.588972,0.528621,0.882814,1.03105,0.039579,0.0422192,0.0805739,0.107348,0.466137,0.419748,0.712812,0.837636
1481,9.70674,5.11964,3.01453,0.0869593,0.248176,0.204377,0.263355,0.192786,0.553281,0.456135,0.582381,0.351277,0.978385,0.819305,1.01671,0.0306791,0.0478479,0.0461881,0.0396628,4.40455,19.9764,12.9596,15.9553,6.36874,22.8291,16.3354,20.8484,3.14958,12.5792,8.66736,11.0576,1.53417,5.17465,3.65089,4.58189,0.365136,0.721075,0.818544,0.707338,3.84034,11.4411,9.19027,11.8714,3.02215,7.92854,6.64105,7.26046,2.10488,6.08058,4.98815,6.29461,0.332276,1.07831,0.771262,1.23557,0.509429,1.59825,1.23504,1.20139,0.822894,1.51055,1.67352,1.39076,0.488878,0.467041,0.820298,1.00917,0.470422,0.509429,0.963986,1.28437,0.298425,0.323522,0.611879,0.815429,0.00,0.00,0.00,0.00,16.6817,18.0852,34.2041,45.582,3.23549,3.38581,6.27987,8.20707,1.54238,1.62657,3.02883,3.97723,2.92273,2.91834,5.28443,6.71377,0.354643,0.27739,0.637534,0.709075,1.43231,1.4085,2.51919,3.16433,0.375719,0.407345,0.770389,1.02664,0.378636,0.364525,0.63957,0.790266,0.0355778,0.0379729,0.0723009,0.0965012,0.305021,0.295534,0.52443,0.652233
1482,9.59443,5.05868,2.66599,0.117761,0.318298,0.270169,0.321924,0.259602,0.699216,0.59848,0.698723,0.504766,1.31314,1.14499,1.28681,0.0340214,0.0716602,0.0702548,0.0607272,6.75516,32.7912,19.442,22.039,9.15398,34.3785,22.3416,25.7553,4.2286,18.1856,11.5883,13.6535,0.681298,2.67757,1.63661,1.60891,0.38978,0.771295,0.850628,0.652037,5.15149,14.8717,12.0108,14.3132,5.70238,14.9309,11.9346,11.6012,2.91615,7.98811,6.75501,7.80056,0.0460827,0.143133,0.108815,0.15958,0.866857,2.43586,2.01213,1.83629,0.990423,1.78987,1.92673,1.42343,1.08214,0.930342,1.50457,1.67508,0.582404,0.648311,1.19483,1.60376,0.37398,0.416304,0.767242,1.02983,0.00,0.00,0.00,0.00,20.9067,23.2723,42.8915,57.5685,5.04019,5.04103,8.856,11.1774,2.32403,2.36622,4.19079,5.35432,5.35051,4.90642,8.23975,9.73914,0.520198,0.379982,0.90366,0.88926,2.87246,2.56818,4.25149,4.91576,0.470911,0.524184,0.966112,1.29665,0.880564,0.751597,1.21129,1.34272,0.0446367,0.0489167,0.090722,0.12201,0.619788,0.547018,0.898807,1.02664
1483,9.69013,5.63019,3.1416,0.0381409,0.100148,0.0885165,0.100783,0.0830214,0.218439,0.19398,0.216348,0.165504,0.421005,0.381282,0.408462,0.0196716,0.0340731,0.033449,0.0282415,2.21132,11.1875,6.6991,7.48568,2.83724,10.769,7.17287,8.08056,1.31303,5.85118,3.74715,4.32591,0.276562,1.12478,0.759955,0.734542,0.170038,0.382141,0.472615,0.314889,1.65752,4.69031,3.9254,4.48787,1.98914,5.07686,4.30015,4.05218,0.953975,2.5628,2.2441,2.47723,0.0160059,0.0491085,0.0396169,0.0554665,0.366024,1.06818,0.881688,0.8165,0.423182,0.801241,1.03026,0.650339,0.227344,0.215419,0.36936,0.448645,0.197032,0.219221,0.404113,0.546981,0.125638,0.139899,0.25777,0.348984,0.00,0.00,0.00,0.00,7.02427,7.82109,14.4112,19.51,1.41346,1.49545,2.69887,3.54807,0.670112,0.716474,1.2973,1.71661,1.29733,1.29722,2.28792,2.8981,0.166085,0.109189,0.344728,0.27127,0.652683,0.640088,1.11628,1.39315,0.158233,0.176172,0.324626,0.439466,0.182697,0.172059,0.294173,0.356163,0.0151416,0.0165723,0.0307921,0.0417319,0.138613,0.134073,0.232393,0.287105
1484,9.45664,4.65166,1.95055,2.53094,2.07696,1.73049,1.27968,5.81975,4.75927,3.97276,2.9178,9.85534,8.18758,6.88183,5.06864,2.09724,1.55077,1.29417,0.848601,9.51485,43.7443,25.6839,27.5628,13.195,48.5985,30.3213,32.5903,5.84262,24.3372,15.3548,17.1996,1.56419,4.06823,2.60541,2.12284,0.56748,1.02704,1.16862,0.843256,6.79223,18.7529,15.5696,17.6768,8.68762,22.3555,17.6551,16.0174,16.3266,18.8964,16.1826,14.4679,0.0446913,0.127814,0.103133,0.146794,1.32027,3.41902,3.02429,2.66272,1.53282,2.6266,2.82626,1.81457,58.2339,9.09593,32.9291,19.0659,19.7965,3.37885,11.8175,7.55259,7.82326,1.49606,4.92634,3.39527,0.00,0.00,0.00,0.00,43.2822,29.3434,60.8279,72.5789,6.30421,6.10167,10.8538,13.3662,2.89383,2.85186,5.1239,6.39002,7.44927,6.5034,10.8986,12.3581,0.631419,0.531155,1.18741,1.25877,11.5273,4.48565,9.77144,8.54003,0.547856,0.602074,1.13752,1.50761,1.21739,0.999327,1.61444,1.72246,0.0513159,0.0554857,0.105608,0.140149,0.887603,0.746237,1.22074,1.33377
1486,9.49181,5.83088,3.33972,0.0472942,0.149068,0.119894,0.155234,0.101378,0.320885,0.257143,0.331451,0.182966,0.564029,0.460942,0.575521,0.00752792,0.0170718,0.0175726,0.0145119,2.7024,16.9624,9.73701,11.923,3.57519,15.9654,10.4473,13.3385,1.79818,9.36115,5.7798,7.35591,1.03436,3.86444,2.95338,3.46139,0.297227,0.85397,1.0132,0.787328,2.07612,7.01942,5.40866,7.01741,1.54609,4.71235,3.84533,4.15612,1.1074,3.61282,2.85514,3.62438,0.21212,0.775566,0.536378,0.883493,0.210909,0.883712,0.636761,0.597262,0.611061,1.38721,1.80915,1.31429,1.12026,1.00775,1.59916,1.76453,0.545272,0.651079,1.18696,1.60475,0.350147,0.418094,0.762214,1.0305,0.00,0.00,0.00,0.00,19.5766,23.3733,42.6118,57.6079,4.92373,5.20646,8.99218,11.3568,2.24794,2.42977,4.23077,5.42038,5.42389,5.21027,8.58989,10.0861,0.495084,0.387011,1.12047,0.899234,2.93563,2.74788,4.4636,5.12211,0.441002,0.526483,0.959842,1.29758,0.902243,0.811451,1.27505,1.41082,0.0416723,0.0488433,0.0900674,0.121754,0.636683,0.587878,0.947977,1.07374
1487,9.35883,5.48713,3.05845,0.0211157,0.0677051,0.0546844,0.0707083,0.0451995,0.145285,0.1173,0.15078,0.0804415,0.252464,0.207446,0.259182,0.00903526,0.0127571,0.0124162,0.0100852,0.932038,3.82224,2.69516,3.41418,1.44229,5.17993,3.87692,5.06173,0.694536,2.64379,1.93005,2.52743,0.456494,1.55159,1.32633,1.52734,0.11274,0.258626,0.364317,0.261017,0.909389,2.9788,2.37268,3.08387,0.616961,1.79459,1.5471,1.69571,0.48179,1.54528,1.25124,1.59038,0.10363,0.386225,0.278984,0.434254,0.107457,0.331673,0.275964,0.257171,0.236497,0.511183,0.713926,0.502607,0.421458,0.389297,0.647195,0.705135,0.232466,0.279508,0.534152,0.689968,0.148609,0.178827,0.341701,0.441359,0.00,0.00,0.00,0.00,8.30803,9.9967,19.1011,24.6716,1.98038,2.14291,3.89358,4.76544,0.91136,1.00624,1.84428,2.28285,2.11019,2.08356,3.6123,4.1641,0.201404,0.17144,0.44785,0.406933,1.12188,1.07943,1.84067,2.0773,0.18714,0.225163,0.430218,0.555677,0.337824,0.312147,0.514829,0.561914,0.0175633,0.020838,0.0402819,0.0519058,0.243011,0.230313,0.389409,0.434173
1489,9.28749,4.93671,2.5624,0.00418976,0.0115157,0.0100132,0.0117609,0.00902242,0.0246956,0.0215512,0.0248506,0.0174418,0.0461287,0.0411966,0.0455901,0.0244182,0.0278636,0.025418,0.0212647,0.163459,0.454206,0.392109,0.465526,0.249792,0.712889,0.604719,0.736775,0.113928,0.330582,0.277491,0.34238,0.165111,0.9179,0.55292,0.63064,0.0129122,0.0503764,0.0420458,0.0364056,0.174164,0.483817,0.417755,0.495673,0.172257,0.409356,0.393371,0.382961,0.0992046,0.267678,0.235799,0.268611,0.00157473,0.00511982,0.00385321,0.00596929,0.20905,0.778426,0.54661,0.592348,0.0379628,0.0760129,0.0897698,0.0703402,0.0233651,0.022175,0.0388143,0.0469611,0.0279376,0.029837,0.0567147,0.0748229,0.0138171,0.0150904,0.0283607,0.0375258,0.00,0.00,0.00,0.00,0.772464,0.843666,1.58555,2.09792,0.16558,0.172524,0.319858,0.413804,0.0723335,0.0763129,0.141228,0.183421,0.228981,0.227323,0.425673,0.543127,0.0521138,0.0486197,0.104841,0.125122,0.0680154,0.0666169,0.118627,0.146872,0.0174003,0.0190045,0.0357156,0.0472567,0.0186378,0.0176092,0.0307833,0.0371471,0.00163542,0.00175458,0.00332027,0.00440751,0.0198852,0.0175983,0.0299986,0.0347346
1492,9.62208,4.28878,2.96459,0.0390194,0.0961287,0.0824923,0.0966082,0.0847536,0.208626,0.179598,0.206448,0.172648,0.411024,0.358575,0.398404,0.0506453,0.0672544,0.06128,0.0535769,1.78325,6.05151,4.24467,4.88583,2.45014,7.23095,5.41003,6.36161,1.09348,3.50119,2.57144,3.07581,0.386522,1.69166,1.06338,1.16754,0.129639,0.223661,0.22909,0.187965,1.64373,4.18804,3.51518,4.13905,2.08963,4.73757,4.07316,4.1085,0.973754,2.38833,2.05437,2.33996,0.0112727,0.0325745,0.0244626,0.0371717,0.603822,1.77039,1.3607,1.39812,0.339586,0.517788,0.561027,0.454133,0.129874,0.122085,0.214267,0.270998,0.144999,0.151977,0.284714,0.38611,0.0842324,0.0888285,0.165475,0.225283,0.00,0.00,0.00,0.00,4.71006,4.96701,9.2534,12.597,0.927112,0.945622,1.73853,2.32204,0.429386,0.441159,0.810743,1.08872,0.974925,0.957257,1.75691,2.28951,0.145733,0.124876,0.278205,0.319278,0.386027,0.37295,0.664692,0.85722,0.106117,0.111905,0.208488,0.283806,0.103073,0.0965896,0.169346,0.21378,0.0101561,0.010557,0.0197964,0.0269827,0.0936915,0.0859379,0.149703,0.186153
